rank,slug,title,category,priority,governance_state,verification_score_percent,priority_score,score_before_priority_floor,priority_floor_applied,queue_band,queue_label,risk_points,search_demand_tier,search_demand_points,search_demand_source,search_demand_source_field,temporary_proxy_match,escalation_frequency_tier,escalation_frequency_points,escalation_frequency_source,business_criticality_tier,business_criticality_points,business_criticality_source,evidence_readiness_points,promotion_ready,missing_requirements
98,triage-a-dhcp-service-issue,Triage a DHCP service issue,Servers & Core Infrastructure,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
99,triage-a-windows-server-that-is-unreachable,Triage a Windows Server that is unreachable,Servers & Core Infrastructure,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
100,troubleshoot-a-browser-certificate-warning,Troubleshoot a browser certificate warning,Security & Compliance,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
101,troubleshoot-a-browser-proxy-certificate,Troubleshoot a browser proxy certificate,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
102,troubleshoot-a-business-application-sign-in,Troubleshoot a business application sign-in,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
103,troubleshoot-a-certificate-on-macos,Troubleshoot a certificate on macOS,macOS Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
104,troubleshoot-a-conference-room-camera,Troubleshoot a conference-room camera,"Voice, Telephony & Meeting Rooms",P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,camera,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
105,troubleshoot-a-conference-room-display,Troubleshoot a conference-room display,"Voice, Telephony & Meeting Rooms",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
106,troubleshoot-a-container-runtime,Troubleshoot a container runtime,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
107,troubleshoot-a-crm-client,Troubleshoot a CRM client,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
108,troubleshoot-a-desktop-with-no-power,Troubleshoot a desktop with no power,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
109,troubleshoot-a-developer-ide,Troubleshoot a developer IDE,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
110,troubleshoot-a-development-proxy,Troubleshoot a development proxy,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
111,troubleshoot-a-docking-station-display-issue,Troubleshoot a docking station display issue,Hardware & Peripherals,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,docking,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
112,troubleshoot-a-docking-station-power-issue,Troubleshoot a docking station power issue,Hardware & Peripherals,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,docking,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
113,troubleshoot-a-failed-endpoint-backup,Troubleshoot a failed endpoint backup,"Data Protection, Backup & Recovery",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
114,troubleshoot-a-failed-keyboard,Troubleshoot a failed keyboard,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
115,troubleshoot-a-failed-mouse-or-pointing-device,Troubleshoot a failed mouse or pointing device,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
116,troubleshoot-a-failed-scheduled-task,Troubleshoot a failed scheduled task,Servers & Core Infrastructure,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
117,troubleshoot-a-failed-server-backup,Troubleshoot a failed server backup,"Data Protection, Backup & Recovery",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
118,troubleshoot-a-failed-systemd-service,Troubleshoot a failed systemd service,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
119,troubleshoot-a-git-repository-clone,Troubleshoot a Git repository clone,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
120,troubleshoot-a-headset,Troubleshoot a headset,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
121,troubleshoot-a-java-based-business-application,Troubleshoot a Java-based business application,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
122,troubleshoot-a-label-printer,Troubleshoot a label printer,Printing & Scanning,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printer,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
123,troubleshoot-a-laptop-display-with-no-image,Troubleshoot a laptop display with no image,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
124,troubleshoot-a-local-development-port-conflict,Troubleshoot a local development port conflict,Linux & Developer Workstations,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
125,troubleshoot-a-mobile-work-profile,Troubleshoot a mobile work profile,Mobile Devices & MDM,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
126,troubleshoot-a-pdf-that-will-not-open,Troubleshoot a PDF that will not open,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
127,troubleshoot-a-print-server-outage,Troubleshoot a print server outage,Printing & Scanning,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
128,troubleshoot-a-room-mailbox,Troubleshoot a room mailbox,Microsoft 365 & Collaboration,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
129,troubleshoot-a-saml-application-error,Troubleshoot a SAML application error,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
130,troubleshoot-a-scanner-not-detected,Troubleshoot a scanner not detected,Printing & Scanning,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
131,troubleshoot-a-service-account,Troubleshoot a service account,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
132,troubleshoot-a-shared-mailbox,Troubleshoot a shared mailbox,Microsoft 365 & Collaboration,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
133,troubleshoot-a-stopped-windows-server-service,Troubleshoot a stopped Windows Server service,Servers & Core Infrastructure,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
134,troubleshoot-a-usb-peripheral,Troubleshoot a USB peripheral,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
135,troubleshoot-a-vdi-profile-issue,Troubleshoot a VDI profile issue,"Remote Access, VDI & DaaS",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
136,troubleshoot-a-webcam-on-windows,Troubleshoot a webcam on Windows,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
137,troubleshoot-a-windows-certificate-service-request,Troubleshoot a Windows certificate service request,Servers & Core Infrastructure,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
138,troubleshoot-a-windows-device-that-will-not-power-on,Troubleshoot a Windows device that will not power on,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
139,troubleshoot-a-windows-update-failure,Troubleshoot a Windows Update failure,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
140,troubleshoot-adobe-acrobat-sign-in,Troubleshoot Adobe Acrobat sign-in,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
141,troubleshoot-an-application-that-will-not-install,Troubleshoot an application that will not install,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
142,troubleshoot-an-application-timeout,Troubleshoot an application timeout,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
143,troubleshoot-an-aws-ec2-instance-that-is-unreachable,Troubleshoot an AWS EC2 instance that is unreachable,Cloud & Virtualisation,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
144,troubleshoot-an-azure-virtual-machine-that-is-unreachable,Troubleshoot an Azure virtual machine that is unreachable,Cloud & Virtualisation,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
145,troubleshoot-an-electronic-signature-workflow,Troubleshoot an electronic-signature workflow,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
146,troubleshoot-an-erp-client,Troubleshoot an ERP client,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
147,troubleshoot-an-external-display-on-macos,Troubleshoot an external display on macOS,macOS Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
148,troubleshoot-an-external-monitor,Troubleshoot an external monitor,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
149,troubleshoot-an-external-monitor-with-no-signal,Troubleshoot an external monitor with no signal,Hardware & Peripherals,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
150,troubleshoot-an-http-403-error,Troubleshoot an HTTP 403 error,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
151,troubleshoot-an-http-404-error,Troubleshoot an HTTP 404 error,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
152,troubleshoot-an-http-500-error,Troubleshoot an HTTP 500 error,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
153,troubleshoot-application-printing,Troubleshoot application printing,Business Applications & Browsers,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
154,troubleshoot-audio-or-microphone-on-macos,Troubleshoot audio or microphone on macOS,macOS Endpoints,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,microphone,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
155,troubleshoot-blocked-browser-downloads,Troubleshoot blocked browser downloads,Business Applications & Browsers,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
156,troubleshoot-bluetooth-devices,Troubleshoot Bluetooth devices,Windows Endpoints,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,bluetooth,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
