slug,title,object_type,confidence,review_required,classification_origin,reason,legacy_severity,category
cloud-collaboration-access-is-failing,Cloud collaboration access is failing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
cloud-storage-access,Cloud storage access,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Cloud & Virtualisation
colour-or-duplex-printing,Colour or duplex printing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Printing & Scanning
conference-room-audio,Conference-room audio,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Voice, Telephony & Meeting Rooms"
connection-is-slow-or-intermittent,Connection is slow or intermittent,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Network & Connectivity
corporate-access-on-a-mobile-device-is-not-working,Corporate access on a mobile device is not working,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Mobile Devices & MDM
corporate-wi-fi-on-mobile,Corporate Wi-Fi on mobile,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
data-from-a-failing-drive-safely,Data from a failing drive safely,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Data Protection, Backup & Recovery"
database-connectivity-from-an-application,Database connectivity from an application,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Servers & Core Infrastructure
deprovision-a-departing-user-account,Deprovision a departing user account,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Identity & Access Management
dhcp-address-assignment,DHCP address assignment,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
directory-synchronisation,Directory synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Identity & Access Management
disk-encryption-compliance,Disk-encryption compliance,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Security & Compliance
dispose-of-equipment-through-an-approved-process,Dispose of equipment through an approved process,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Lifecycle & Asset Management
distribution-list-delivery,Distribution-list delivery,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
dns-name-resolution,DNS name resolution,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
dock-no-network,Dock Ethernet has no network,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
docker-desktop,Docker Desktop,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
document-a-ticket-to-enterprise-standard,Document a ticket to enterprise standard,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Service Desk & ITSM
endpoint-protection-health,Endpoint protection health,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Security & Compliance
enrol-a-mac-into-mdm,Enrol a Mac into MDM,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,macOS Endpoints
enrol-an-android-device-into-mdm,Enrol an Android device into MDM,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Mobile Devices & MDM
enrol-an-iphone-or-ipad-into-mdm,Enrol an iPhone or iPad into MDM,service_request,high,false,review_override,"This is an enrolment action/request, not an observable fault.",medium,Mobile Devices & MDM
enterprise-software-deployment,Enterprise software deployment,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
escalate-a-cloud-quota-or-capacity-issue,Escalate a cloud quota or capacity issue,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Cloud & Virtualisation
escalate-a-legal-hold-or-retention-request,Escalate a legal-hold or retention request,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,"Data Protection, Backup & Recovery"
escalate-an-incident-with-complete-evidence,Escalate an incident with complete evidence,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Service Desk & ITSM
excessive-mobile-battery-drain,Excessive mobile battery drain,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Mobile Devices & MDM
general-workstation-triage,General Workstation Triage,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
git-authentication,Git authentication,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
gmail-delegation,Gmail delegation,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
gmail-send-or-receive,Gmail send or receive,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
google-calendar-sharing,Google Calendar sharing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
google-drive-synchronisation,Google Drive synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Google Workspace & Web Collaboration
google-meet-audio-or-video,Google Meet audio or video,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
google-workspace-feature-is-not-working,Google Workspace feature is not working,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Google Workspace & Web Collaboration
google-workspace-mobile-access,Google Workspace mobile access,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
google-workspace-sign-in,Google Workspace sign-in,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
group-policy-application,Group Policy application,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Servers & Core Infrastructure
hardware-or-peripheral-is-not-functioning,Hardware or peripheral is not functioning,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Hardware & Peripherals
hdmi-presentation-input,HDMI presentation input,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Voice, Telephony & Meeting Rooms"
high-cpu-utilisation,High CPU utilisation,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Windows Endpoints
high-load-on-linux,High load on Linux,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
high-memory-utilisation,High memory utilisation,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Windows Endpoints
incorrect-system-time,Incorrect system time,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Windows Endpoints
intermittent-network-connectivity,Intermittent network connectivity,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
investigate-an-antivirus-or-edr-alert,Investigate an antivirus or EDR alert,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Security & Compliance
investigate-an-overheating-windows-device,Investigate an overheating Windows device,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
investigate-repeated-account-lockouts,Investigate repeated account lockouts,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Identity & Access Management
investigate-unusual-fan-noise,Investigate unusual fan noise,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Hardware & Peripherals
isolate-an-endpoint-through-approved-edr-controls,Isolate an endpoint through approved EDR controls,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Security & Compliance
issue-and-track-a-loan-device,Issue and track a loan device,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Hardware & Peripherals
known-folder-move,Known Folder Move,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
linux-certificate-trust,Linux certificate trust,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
linux-dns-resolution,Linux DNS resolution,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
linux-or-developer-tooling-is-not-working,Linux or developer tooling is not working,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Linux & Developer Workstations
linux-package-installation,Linux package installation,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
linux-sign-in,Linux sign-in,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
linux-vpn,Linux VPN,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Linux & Developer Workstations
low-disk-space-on-a-server,Low disk space on a server,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Servers & Core Infrastructure
low-disk-space-on-linux,Low disk space on Linux,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Linux & Developer Workstations
low-disk-space-on-windows,Low disk space on Windows,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Windows Endpoints
low-virtualisation-datastore-capacity,Low virtualisation datastore capacity,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Cloud & Virtualisation
mac-is-not-working-correctly,Mac is not working correctly,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,macOS Endpoints
macos-application-permission-prompts,MacOS application permission prompts,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
macos-disk-space,MacOS disk space,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
macos-mdm-compliance-failure,MacOS MDM compliance failure,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,macOS Endpoints
macos-sign-in-failure,MacOS sign-in failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,macOS Endpoints
macos-software-update,MacOS software update,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
macos-vpn,MacOS VPN,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
macos-wi-fi,MacOS Wi-Fi,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
mapped-drive-missing-symptom,Mapped network drive is missing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,File Services
meeting-updates-or-cancellations,Meeting updates or cancellations,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
memory-hardware-errors,Memory hardware errors,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Hardware & Peripherals
microphone-fails,Microphone is not detected in Teams,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Microsoft 365 & Collaboration
microsoft-365-apps-installation,Microsoft 365 Apps installation,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
microsoft-365-feature-is-not-working,Microsoft 365 feature is not working,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Microsoft 365 & Collaboration
microsoft-forms-access,Microsoft Forms access,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
microsoft-intune-enrolment,Microsoft Intune enrolment,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
microsoft-planner-or-tasks-access,Microsoft Planner or Tasks access,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
microsoft-teams-sign-in,Microsoft Teams sign-in,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
migrate-a-user-profile,Migrate a user profile,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,"Data Protection, Backup & Recovery"
migrate-an-authenticator-to-a-replacement-phone,Migrate an authenticator to a replacement phone,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Mobile Devices & MDM
migrate-user-data-to-a-replacement-device,Migrate user data to a replacement device,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,"Data Protection, Backup & Recovery"
mobile-access-after-a-forgotten-passcode,Mobile access after a forgotten passcode,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
mobile-application-deployment,Mobile application deployment,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
mobile-device-compliance-failure,Mobile-device compliance failure,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Mobile Devices & MDM
mobile-device-is-not-compliant,Mobile device is not compliant,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
mobile-outlook-synchronisation,Mobile Outlook synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Mobile Devices & MDM
mobile-storage-exhaustion,Mobile storage exhaustion,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
mobile-vpn,Mobile VPN,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
multiple-monitor-arrangement-or-resolution,Multiple-monitor arrangement or resolution,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
multiple-users-or-services-may-be-affected,Multiple users or services may be affected,context,high,false,deterministic_v2,Explicit scope/business-context language.,medium,Service Desk & ITSM
need-access-through-an-approved-request,Need access through an approved request,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-calendar-delegate-access,Need calendar delegate access,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-secure-remote-support,Need secure remote support,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-secure-remote-support-to-macos,Need secure remote support to macOS,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,macOS Endpoints
need-shared-mailbox-access,Need shared mailbox access,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-a-desk-move,Desk move required,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Lifecycle & Asset Management
need-to-a-device-health-check,Device health check required,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Lifecycle & Asset Management
need-to-an-approved-remote-wipe,Approved remote wipe required,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Mobile Devices & MDM
need-to-an-office-equipment-relocation,Office equipment relocation required,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Lifecycle & Asset Management
need-to-apply-an-approved-standard-configuration,Need to apply an approved standard configuration,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-assess-accidental-or-liquid-damage,Need to assess accidental or liquid damage,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Hardware & Peripherals
need-to-assess-business-impact-and-urgency,Need to assess business impact and urgency,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-assess-storage-drive-health,Need to assess storage drive health,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-audit-assigned-equipment,Need to audit assigned equipment,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-change-a-microsoft-365-licence,Need to change a Microsoft 365 licence,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-change-security-group-membership,Need to change security group membership,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-collect-a-network-diagnostic-baseline,Need to collect a network diagnostic baseline,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Network & Connectivity
need-to-collect-a-windows-crash-dump,Need to collect a Windows crash dump,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-collect-business-application-logs,Need to collect business-application logs,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Business Applications & Browsers
need-to-collect-cloud-resource-diagnostics,Need to collect cloud resource diagnostics,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Cloud & Virtualisation
need-to-collect-linux-logs-for-escalation,Need to collect Linux logs for escalation,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Linux & Developer Workstations
need-to-collect-macos-diagnostic-logs,Need to collect macOS diagnostic logs,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,macOS Endpoints
need-to-collect-returned-equipment,Need to collect returned equipment,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-collect-security-incident-evidence,Need to collect security incident evidence,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Security & Compliance
need-to-collect-server-logs-for-escalation,Need to collect server logs for escalation,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Servers & Core Infrastructure
need-to-collect-windows-event-logs-for-escalation,Need to collect Windows event logs for escalation,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-complete-a-post-incident-review,Need to complete a post-incident review,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-configure-corporate-email-on-android,Need to configure corporate email on Android,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Mobile Devices & MDM
need-to-configure-corporate-email-on-ios,Need to configure corporate email on iOS,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Mobile Devices & MDM
need-to-coordinate-a-major-incident,Need to coordinate a major incident,service_request,high,false,deterministic_v2,Explicit request/need wording.,critical,Service Desk & ITSM
need-to-coordinate-an-approved-server-restart,Need to coordinate an approved server restart,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Servers & Core Infrastructure
need-to-create-a-problem-record-from-recurring-incidents,Need to create a problem record from recurring incidents,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-create-or-update-a-knowledge-article,Need to create or update a knowledge article,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-engage-a-third-party-vendor-for-support,Need to engage a third-party vendor for support,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-handle-a-duplicate-incident,Need to handle a duplicate incident,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-handle-a-sensitive-data-misdelivery,Need to handle a sensitive-data misdelivery,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Security & Compliance
need-to-initial-incident-triage,Initial incident triage required,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Service Desk & ITSM
need-to-install-or-renew-a-mobile-certificate,Need to install or renew a mobile certificate,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Mobile Devices & MDM
need-to-install-or-update-a-printer-driver,Need to install or update a printer driver,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Printing & Scanning
need-to-join-a-windows-device-to-the-corporate-directory,Need to join a Windows device to the corporate directory,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-link-an-incident-to-a-recent-change,Need to link an incident to a recent change,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-manage-a-distribution-group-membership-request,Need to manage a distribution group membership request,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-manage-an-sla-breach-risk,Need to manage an SLA breach risk,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
need-to-prepare-a-device-for-reassignment,Need to prepare a device for reassignment,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-prepare-a-device-for-warranty-repair,Need to prepare a device for warranty repair,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Hardware & Peripherals
need-to-prepare-a-standard-corporate-workstation,Need to prepare a standard corporate workstation,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-prepare-and-validate-a-high-priority-video-conference,Need to prepare and validate a high-priority video conference,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,"Voice, Telephony & Meeting Rooms"
need-to-provision-a-device-with-windows-autopilot,Need to provision a device with Windows Autopilot,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-provision-a-new-user-account,Need to provision a new user account,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-provision-external-guest-access,Need to provision external guest access,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-provision-or-change-a-phone-extension,Need to provision or change a phone extension,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,"Voice, Telephony & Meeting Rooms"
need-to-record-a-new-asset-in-inventory,Need to record a new asset in inventory,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-remove-an-unauthorised-browser-extension,Need to remove an unauthorised browser extension,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Security & Compliance
need-to-remove-and-reinstall-a-printer-cleanly,Need to remove and reinstall a printer cleanly,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Printing & Scanning
need-to-remove-corporate-data-from-a-personal-device,Need to remove corporate data from a personal device,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Mobile Devices & MDM
need-to-remove-inappropriate-or-expired-access,Need to remove inappropriate or expired access,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Identity & Access Management
need-to-rename-a-corporate-windows-device,Need to rename a corporate Windows device,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-review-and-remove-stale-vm-snapshots-safely,Need to review and remove stale VM snapshots safely,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Cloud & Virtualisation
need-to-review-privileged-access-activation-failure,Need to review privileged access activation failure,service_request,high,false,deterministic_v2,Explicit request/need wording.,high,Identity & Access Management
need-to-securely-collect-logs-for-the-security-team,Need to securely collect logs for the security team,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Security & Compliance
need-to-securely-transfer-large-business-files,Need to securely transfer large business files,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,"Data Protection, Backup & Recovery"
need-to-securely-wipe-a-retired-device,Need to securely wipe a retired device,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-shift-handover-for-open-incidents,Shift handover required for open incidents,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Service Desk & ITSM
need-to-update-bios-or-device-firmware-safely,Need to update BIOS or device firmware safely,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Windows Endpoints
need-to-validate-a-backup-restore-request,Need to validate a backup restore request,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,"Data Protection, Backup & Recovery"
need-to-validate-accessories-issued-with-a-device,Need to validate accessories issued with a device,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Lifecycle & Asset Management
need-to-validate-critical-security-patch-deployment,Need to validate critical security patch deployment,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Security & Compliance
need-to-validate-microsoft-365-service-health,Need to validate Microsoft 365 service health,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Microsoft 365 & Collaboration
need-to-validate-replacement-hardware-before-handover,Need to validate replacement hardware before handover,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Hardware & Peripherals
need-to-validate-service-restoration-before-closure,Need to validate service restoration before closure,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Service Desk & ITSM
network-latency,Network latency,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
network-or-internet-access-is-unavailable,Network or internet access is unavailable,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
no-dial-tone-on-a-desk-phone,No dial tone on a desk phone,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,"Voice, Telephony & Meeting Rooms"
no-ethernet-connectivity,No Ethernet connectivity,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Network & Connectivity
no-wi-fi-connectivity,No Wi-Fi connectivity,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Network & Connectivity
offboard-and-recover-a-departing-employee-device,Offboard and recover a departing employee device,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Lifecycle & Asset Management
office-activation,Office activation,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
offline-files-synchronisation,Offline Files synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Windows Endpoints
onboard-a-new-employee-device,Onboard a new employee device,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Lifecycle & Asset Management
one-way-audio,One-way audio,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,"Voice, Telephony & Meeting Rooms"
onedrive-synchronisation,OneDrive synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Microsoft 365 & Collaboration
outlook-add-ins,Outlook add-ins,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
outlook-search,Outlook search,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Microsoft 365 & Collaboration
outlook-send-and-receive,Outlook send and receive,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
outlook-that-will-not-open,Outlook that will not open,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Microsoft 365 & Collaboration
